Position,Athlete,NOC,Final,Medal,Event,Gender,Year,Time,Height,Distance,Time (H)
1,Stefano Baldini,ITA,,Gold,Marathon,M,2004,2-10:55,,,
2,Meb Keflezighi,USA,,Silver,Marathon,M,2004,2-11:29,,,
3,Vanderlei de Lima,BRA,,Bronze,Marathon,M,2004,2-12:11,,,
1,Liu Xiang,CHN,12.91 (1),Gold,110 metres Hurdles,M,2004,,,,
2,Terrence Trammell,USA,13.18 (2),Silver,110 metres Hurdles,M,2004,,,,
3,Anier GarcÃ­a,CUB,13.20 (3),Bronze,110 metres Hurdles,M,2004,,,,
1,FÃ©lix SÃ¡nchez,DOM,47.63 (1),Gold,400 metres Hurdles,M,2004,,,,
2,Danny McFarlane,JAM,48.11 (2),Silver,400 metres Hurdles,M,2004,,,,
3,Naman KeÃ¯ta,FRA,48.26 (3),Bronze,400 metres Hurdles,M,2004,,,,
1,Ezekiel Kemboi,KEN,8:05.81 (1),Gold,"3,000 metres Steeplechase",M,2004,,,,
2,Brimin Kipruto,KEN,8:06.11 (2),Silver,"3,000 metres Steeplechase",M,2004,,,,
3,Paul Kipsiele Koech,KEN,8:06.64 (3),Bronze,"3,000 metres Steeplechase",M,2004,,,,
1,,ITA,,Gold,20 kilometres Walk,M,2004,1-19:40,,,
2,,ESP,,Silver,20 kilometres Walk,M,2004,1-19:45,,,
3,,AUS,,Bronze,20 kilometres Walk,M,2004,1-20:02,,,
1,,POL,,Gold,50 kilometres Walk,M,2004,3-38:46,,,
2,,RUS,,Silver,50 kilometres Walk,M,2004,3-42:50,,,
3,,RUS,,Bronze,50 kilometres Walk,M,2004,3-43:34,,,
1,Stefan Holm,SWE,,Gold,High Jump,M,2004,,,,
2,Matt Hemingway,USA,,Silver,High Jump,M,2004,,,,
3,Jaroslav BÃ¡ba,CZE,,Bronze,High Jump,M,2004,,,,
1,Tim Mack,USA,,Gold,Pole Vault,M,2004,,,,
2,Toby Stevenson,USA,,Silver,Pole Vault,M,2004,,,,
3,Giuseppe Gibilisco,ITA,,Bronze,Pole Vault,M,2004,,,,
1,Dwight Phillips,USA,8.59 (1),Gold,Long Jump,M,2004,,,,
2,John Moffitt,USA,8.47 (2),Silver,Long Jump,M,2004,,,,
3,Joan Lino MartÃ­nez,ESP,8.32 (3),Bronze,Long Jump,M,2004,,,,
1,Christian Olsson,SWE,17.79 (1),Gold,Triple Jump,M,2004,,,,
2,Marian Oprea,ROU,17.55 (2),Silver,Triple Jump,M,2004,,,,
3,Daniil Burkenya,RUS,17.48 (3),Bronze,Triple Jump,M,2004,,,,
1,Adam Nelson,USA,21.16 (1),Gold,Shot Put,M,2004,,,,
2,Joachim Olsen,DEN,21.07 (2),Silver,Shot Put,M,2004,,,,
3,Manuel MartÃ­nez,ESP,20.84 (3),Bronze,Shot Put,M,2004,,,,
1,Virgilijus Alekna,LTU,69.89 (1),Gold,Discus Throw,M,2004,,,,
2,ZoltÃ¡n KÅvÃ¡gÃ³,HUN,67.04 (2),Silver,Discus Throw,M,2004,,,,
3,Aleksander Tammert,EST,66.66 (3),Bronze,Discus Throw,M,2004,,,,
1,Koji Murofushi,JPN,82.91 (1),Gold,Hammer Throw,M,2004,,,,
1,Andreas Thorkildsen,NOR,86.50 (1),Gold,Javelin Throw,M,2004,,,,
2,Vadims VasiÄ¼evskis,LAT,84.95 (2),Silver,Javelin Throw,M,2004,,,,
3,Sergey Makarov,RUS,84.84 (3),Bronze,Javelin Throw,M,2004,,,,
1,Yuliya Nestsiarenka,BLR,10.93 (1),Gold,100 metres,F,2004,,,,
2,Lauryn Williams,USA,10.96 (2),Silver,100 metres,F,2004,,,,
3,Veronica Campbell,JAM,10.97 (3),Bronze,100 metres,F,2004,,,,
1,Veronica Campbell,JAM,22.05 (1),Gold,200 metres,F,2004,,,,
2,Allyson Felix,USA,22.18 (2),Silver,200 metres,F,2004,,,,
3,Debbie Ferguson,BAH,22.30 (3),Bronze,200 metres,F,2004,,,,
1,Tonique Williams-Darling,BAH,49.41 (1),Gold,400 metres,F,2004,,,,
2,Ana Guevara,MEX,49.56 (2),Silver,400 metres,F,2004,,,,
3,Nataliya Antyukh,RUS,49.89 (3),Bronze,400 metres,F,2004,,,,
1,Kelly Holmes,GBR,1:56.38 (1),Gold,800 metres,F,2004,,,,
2,Hasna Benhassi,MAR,1:56.43 (2),Silver,800 metres,F,2004,,,,
3,Jolanda Äeplak,SLO,1:56.43 (3),Bronze,800 metres,F,2004,,,,
1,Kelly Holmes,GBR,3:57.90 (1),Gold,"1,500 metres",F,2004,,,,
2,Tatyana Tomashova,RUS,3:58.12 (2),Silver,"1,500 metres",F,2004,,,,
3,Maria Cioncan,ROU,3:58.39 (3),Bronze,"1,500 metres",F,2004,,,,
1,Meseret Defar,ETH,14:45.65 (1),Gold,"5,000 metres",F,2004,,,,
2,Isabella Ochichi,KEN,14:48.19 (2),Silver,"5,000 metres",F,2004,,,,
3,Tirunesh Dibaba,ETH,14:51.83 (3),Bronze,"5,000 metres",F,2004,,,,
1,Xing Huina,CHN,,Gold,"10,000 metres",F,2004,,,,
2,Ejegayehu Dibaba,ETH,,Silver,"10,000 metres",F,2004,,,,
3,Derartu Tulu,ETH,,Bronze,"10,000 metres",F,2004,,,,
1,Mizuki Noguchi,JPN,,Gold,Marathon,F,2004,2-26:20,,,
2,Catherine Ndereba,KEN,,Silver,Marathon,F,2004,2-26:32,,,
3,Deena Kastor,USA,,Bronze,Marathon,F,2004,2-27:20,,,
1,Joanna Hayes,USA,12.37 (1),Gold,100 metres Hurdles,F,2004,,,,
2,Olena Ovcharova-Krasovska,UKR,12.45 (2),Silver,100 metres Hurdles,F,2004,,,,
3,Melissa Morrison,USA,12.56 (3),Bronze,100 metres Hurdles,F,2004,,,,
1,Fani Khalkia,GRE,52.82 (1),Gold,400 metres Hurdles,F,2004,,,,
2,Ionela TÃ¢rlea-Manolache,ROU,53.38 (2),Silver,400 metres Hurdles,F,2004,,,,
3,Tetiana Tereshchuk-Antypova,UKR,53.44 (3),Bronze,400 metres Hurdles,F,2004,,,,
1,,GRE,,Gold,20 kilometres Walk,F,2004,1-29:12,,,
2,,RUS,,Silver,20 kilometres Walk,F,2004,1-29:16,,,
3,,AUS,,Bronze,20 kilometres Walk,F,2004,1-29:25,,,
1,Yelena Slesarenko,RUS,,Gold,High Jump,F,2004,,,,
2,Hestrie Storbeck-Cloete,RSA,,Silver,High Jump,F,2004,,,,
3,Vita Stopina,UKR,,Bronze,High Jump,F,2004,,,,
1,Yelena Isinbayeva,RUS,,Gold,Pole Vault,F,2004,,,,
2,Svetlana Feofanova,RUS,,Silver,Pole Vault,F,2004,,,,
3,Anna Rogowska,POL,,Bronze,Pole Vault,F,2004,,,,
1,Tatyana Lebedeva,RUS,7.07 (1),Gold,Long Jump,F,2004,,,,
2,Irina Simagina,RUS,7.05 (2),Silver,Long Jump,F,2004,,,,
3,Tatyana Kotova,RUS,7.05 (3),Bronze,Long Jump,F,2004,,,,
1,FranÃ§oise Mbango,CMR,15.30 (1),Gold,Triple Jump,F,2004,,,,
2,Pigi Devetzi,GRE,15.25 (2),Silver,Triple Jump,F,2004,,,,
3,Tatyana Lebedeva,RUS,15.14 (3),Bronze,Triple Jump,F,2004,,,,
1,Yumileidi CumbÃ¡,CUB,19.59 (1),Gold,Shot Put,F,2004,,,,
2,Nadine Kleinert,GER,19.55 (2),Silver,Shot Put,F,2004,,,,
1,Nataliya Sadova,RUS,67.02 (1),Gold,Discus Throw,F,2004,,,,
2,Anastasia Kelesidou,GRE,66.68 (2),Silver,Discus Throw,F,2004,,,,
3,VÄra PospÃ­Å¡ilovÃ¡-CechlovÃ¡,CZE,66.08 (3),Bronze,Discus Throw,F,2004,,,,
1,Olga Kuzenkova,RUS,75.02 (1),Gold,Hammer Throw,F,2004,,,,
2,Yipsi Moreno,CUB,73.36 (2),Silver,Hammer Throw,F,2004,,,,
3,Yunaika Crawford,CUB,73.16 (3),Bronze,Hammer Throw,F,2004,,,,
1,Osleidys MenÃ©ndez,CUB,71.53 (1),Gold,Javelin Throw,F,2004,,,,
2,Steffi Nerius,GER,65.82 (2),Silver,Javelin Throw,F,2004,,,,
3,Mirela Maniani,GRE,64.29 (3),Bronze,Javelin Throw,F,2004,,,,
1,Usain Bolt,JAM,9.69 (1),Gold,100 metres,M,2008,,,,
2,Richard Thompson,TTO,9.89 (2),Silver,100 metres,M,2008,,,,
3,Walter Dix,USA,9.91 (3),Bronze,100 metres,M,2008,,,,
1,Usain Bolt,JAM,19.30 (1),Gold,200 metres,M,2008,,,,
2,Shawn Crawford,USA,19.96 (2),Silver,200 metres,M,2008,,,,
3,Walter Dix,USA,19.98 (3),Bronze,200 metres,M,2008,,,,
1,LaShawn Merritt,USA,43.75 (1),Gold,400 metres,M,2008,,,,
2,Jeremy Wariner,USA,44.74 (2),Silver,400 metres,M,2008,,,,
3,David Neville,USA,44.80 (3),Bronze,400 metres,M,2008,,,,
1,Wilfred Bungei,KEN,1:44.65 (1),Gold,800 metres,M,2008,,,,
2,Ismail Ahmed Ismail,SUD,1:44.70 (2),Silver,800 metres,M,2008,,,,
3,Alfred Kirwa Yego,KEN,1:44.82 (3),Bronze,800 metres,M,2008,,,,
1,Asbel Kiprop,KEN,3:33.11 (1),Gold,"1,500 metres",M,2008,,,,
2,Nick Willis,NZL,3:34.16 (2),Silver,"1,500 metres",M,2008,,,,
3,Mehdi Baala,FRA,3:34.21 (3),Bronze,"1,500 metres",M,2008,,,,
1,Kenenisa Bekele,ETH,12:57.82 (1),Gold,"5,000 metres",M,2008,,,,
2,Eliud Kipchoge,KEN,13:02.80 (2),Silver,"5,000 metres",M,2008,,,,
3,Edwin Soi,KEN,13:06.22 (3),Bronze,"5,000 metres",M,2008,,,,
1,Kenenisa Bekele,ETH,,Gold,"10,000 metres",M,2008,,,,
2,Sileshi Sihine,ETH,,Silver,"10,000 metres",M,2008,,,,
3,Micah Kogo,KEN,,Bronze,"10,000 metres",M,2008,,,,
1,Sammy Wanjiru,KEN,,Gold,Marathon,M,2008,2-06:32,,,
2,Jaouad Gharib,MAR,,Silver,Marathon,M,2008,2-07:16,,,
3,Tsegaye Kebede,ETH,,Bronze,Marathon,M,2008,2-10:00,,,
1,Dayron Robles,CUB,12.93 (1),Gold,110 metres Hurdles,M,2008,,,,
2,David Payne,USA,13.17 (2),Silver,110 metres Hurdles,M,2008,,,,
3,David Oliver,USA,13.18 (3),Bronze,110 metres Hurdles,M,2008,,,,
1,Angelo Taylor,USA,47.25 (1),Gold,400 metres Hurdles,M,2008,,,,
2,Kerron Clement,USA,47.98 (2),Silver,400 metres Hurdles,M,2008,,,,
3,Bershawn Jackson,USA,48.06 (3),Bronze,400 metres Hurdles,M,2008,,,,
1,Brimin Kipruto,KEN,8:10.34 (1),Gold,"3,000 metres Steeplechase",M,2008,,,,
2,Mahiedine Mekhissi-Benabbad,FRA,8:10.49 (2),Silver,"3,000 metres Steeplechase",M,2008,,,,
3,Richard Mateelong,KEN,8:11.01 (3),Bronze,"3,000 metres Steeplechase",M,2008,,,,
1,,RUS,,Gold,20 kilometres Walk,M,2008,1-19:01,,,
2,,ECU,,Silver,20 kilometres Walk,M,2008,1-19:15,,,
3,,AUS,,Bronze,20 kilometres Walk,M,2008,1-19:42,,,
1,,ITA,,Gold,50 kilometres Walk,M,2008,3-37:09,,,
2,,AUS,,Silver,50 kilometres Walk,M,2008,3-39:27,,,
3,,RUS,,Bronze,50 kilometres Walk,M,2008,3-40:14,,,
1,Andrey Silnov,RUS,,Gold,High Jump,M,2008,,,,
2,Germaine Mason,GBR,,Silver,High Jump,M,2008,,,,
3,Yaroslav Rybakov,RUS,,Bronze,High Jump,M,2008,,,,
1,Steve Hooker,AUS,,Gold,Pole Vault,M,2008,,,,
2,Yevgeny Lukyanenko,RUS,,Silver,Pole Vault,M,2008,,,,
3,Derek Miles,USA,,Bronze,Pole Vault,M,2008,,,,
1,Irving Saladino,PAN,8.34 (1),Gold,Long Jump,M,2008,,,,
2,Godfrey Khotso Mokoena,RSA,8.24 (2),Silver,Long Jump,M,2008,,,,
3,Ibrahim Camejo,CUB,8.20 (3),Bronze,Long Jump,M,2008,,,,
1,Nelson Ãvora,POR,17.67 (1),Gold,Triple Jump,M,2008,,,,
2,Phillips Idowu,GBR,17.62 (2),Silver,Triple Jump,M,2008,,,,
3,Leevan Sands,BAH,17.59 (3),Bronze,Triple Jump,M,2008,,,,
1,Tomasz Majewski,POL,21.51 (1),Gold,Shot Put,M,2008,,,,
2,Christian Cantwell,USA,21.09 (2),Silver,Shot Put,M,2008,,,,
3,Dylan Armstrong,CAN,21.04 (3),Bronze,Shot Put,M,2008,,,,
1,Gerd Kanter,EST,68.82 (1),Gold,Discus Throw,M,2008,,,,
2,Piotr MaÅachowski,POL,67.82 (2),Silver,Discus Throw,M,2008,,,,
3,Virgilijus Alekna,LTU,67.79 (3),Bronze,Discus Throw,M,2008,,,,
1,PrimoÅ¾ Kozmus,SLO,82.02 (1),Gold,Hammer Throw,M,2008,,,,
2,Vadzim Dzeviatouski,BLR,81.61 (2),Silver,Hammer Throw,M,2008,,,,
3,Ivan Tsikan,BLR,81.51 (3),Bronze,Hammer Throw,M,2008,,,,
1,Andreas Thorkildsen,NOR,90.57 (1),Gold,Javelin Throw,M,2008,,,,
2,AinÄrs Kovals,LAT,86.64 (2),Silver,Javelin Throw,M,2008,,,,
3,Tero PitkÃ¤mÃ¤ki,FIN,86.16 (3),Bronze,Javelin Throw,M,2008,,,,
1,Shelly-Ann Fraser,JAM,10.78 (1),Gold,100 metres,F,2008,,,,
=2,Sherone Simpson,JAM,10.98 (=2),Silver,100 metres,F,2008,,,,
=2,Kerron Stewart,JAM,10.98 (=2),Silver,100 metres,F,2008,,,,
1,Veronica Campbell-Brown,JAM,21.74 (1),Gold,200 metres,F,2008,,,,
2,Allyson Felix,USA,21.93 (2),Silver,200 metres,F,2008,,,,
3,Kerron Stewart,JAM,22.00 (3),Bronze,200 metres,F,2008,,,,
1,Christine Ohuruogu,GBR,49.62 (1),Gold,400 metres,F,2008,,,,
2,Shericka Williams,JAM,49.69 (2),Silver,400 metres,F,2008,,,,
3,Sanya Richards-Ross,USA,49.93 (3),Bronze,400 metres,F,2008,,,,
1,Pamela Jelimo,KEN,1:54.87 (1),Gold,800 metres,F,2008,,,,
2,Janeth Jepkosgei,KEN,1:56.07 (2),Silver,800 metres,F,2008,,,,
3,Hasna Benhassi,MAR,1:56.73 (3),Bronze,800 metres,F,2008,,,,
1,Nancy Langat,KEN,4:00.23 (1),Gold,"1,500 metres",F,2008,,,,
2,Iryna Lishchynska,UKR,4:01.63 (2),Silver,"1,500 metres",F,2008,,,,
3,Nataliya Tobias,UKR,4:01.78 (3),Bronze,"1,500 metres",F,2008,,,,
1,Tirunesh Dibaba,ETH,15:41.40 (1),Gold,"5,000 metres",F,2008,,,,
2,Meseret Defar,ETH,15:44.12 (2),Silver,"5,000 metres",F,2008,,,,
3,Sylvia Kibet,KEN,15:44.96 (3),Bronze,"5,000 metres",F,2008,,,,
1,Tirunesh Dibaba,ETH,,Gold,"10,000 metres",F,2008,,,,
2,Shalane Flanagan,USA,,Silver,"10,000 metres",F,2008,,,,
3,Linet Masai,KEN,,Bronze,"10,000 metres",F,2008,,,,
1,Constantina Tomescu,ROU,,Gold,Marathon,F,2008,2-26:44,,,
2,Catherine Ndereba,KEN,,Silver,Marathon,F,2008,2-27:06,,,
3,Zhou Chunxiu,CHN,,Bronze,Marathon,F,2008,2-27:07,,,
1,Dawn Harper,USA,12.54 (1),Gold,100 metres Hurdles,F,2008,,,,
2,Sally McLellan,AUS,12.64 (2),Silver,100 metres Hurdles,F,2008,,,,
3,Priscilla Lopes-Schliep,CAN,12.64 (3),Bronze,100 metres Hurdles,F,2008,,,,
1,Melaine Walker,JAM,52.64 (1),Gold,400 metres Hurdles,F,2008,,,,
2,Sheena Tosta,USA,53.70 (2),Silver,400 metres Hurdles,F,2008,,,,
3,Tasha Danvers,GBR,53.84 (3),Bronze,400 metres Hurdles,F,2008,,,,
1,Gulnara Galkina,RUS,8:58.81 (1),Gold,"3,000 metres Steeplechase",F,2008,,,,
2,Eunice Jepkorir,KEN,9:07.41 (2),Silver,"3,000 metres Steeplechase",F,2008,,,,
3,Tatyana Petrova,RUS,9:12.33 (3),Bronze,"3,000 metres Steeplechase",F,2008,,,,
1,,RUS,,Gold,20 kilometres Walk,F,2008,1-26:31,,,
2,,NOR,,Silver,20 kilometres Walk,F,2008,1-27:07,,,
3,,ITA,,Bronze,20 kilometres Walk,F,2008,1-27:12,,,
1,Tia Hellebaut,BEL,,Gold,High Jump,F,2008,,,,
2,Blanka VlaÅ¡iÄ,CRO,,Silver,High Jump,F,2008,,,,
3,ChauntÃ© Howard,USA,,Bronze,High Jump,F,2008,,,,
1,Yelena Isinbayeva,RUS,,Gold,Pole Vault,F,2008,,,,
2,Jenn Stuczynski,USA,,Silver,Pole Vault,F,2008,,,,
3,Svetlana Feofanova,RUS,,Bronze,Pole Vault,F,2008,,,,
1,Maurren Maggi,BRA,7.04 (1),Gold,Long Jump,F,2008,,,,
2,Blessing Okagbare,NGR,6.91 (2),Silver,Long Jump,F,2008,,,,
3,Chelsea Hammond,JAM,6.79 (3),Bronze,Long Jump,F,2008,,,,
1,FranÃ§oise Mbango,CMR,15.39 (1),Gold,Triple Jump,F,2008,,,,
2,Olga Rypakova,KAZ,15.11 (2),Silver,Triple Jump,F,2008,,,,
3,Yargelis Savigne,CUB,15.05 (3),Bronze,Triple Jump,F,2008,,,,
1,Valerie Vili,NZL,20.56 (1),Gold,Shot Put,F,2008,,,,
2,Misleydis GonzÃ¡lez,CUB,19.50 (2),Silver,Shot Put,F,2008,,,,
3,Gong Lijiao,CHN,19.20 (3),Bronze,Shot Put,F,2008,,,,
1,Stephanie Brown-Trafton,USA,64.74 (1),Gold,Discus Throw,F,2008,,,,
2,Olena Antonova,UKR,62.59 (2),Silver,Discus Throw,F,2008,,,,
3,Song Aimin,CHN,62.20 (3),Bronze,Discus Throw,F,2008,,,,
1,Yipsi Moreno,CUB,75.20 (1),Gold,Hammer Throw,F,2008,,,,
2,Zhang Wenxiu,CHN,74.32 (2),Silver,Hammer Throw,F,2008,,,,
3,ManuÃ¨la Montebrun,FRA,72.54 (3),Bronze,Hammer Throw,F,2008,,,,
1,Barbora Å potÃ¡kovÃ¡,CZE,71.42 (1),Gold,Javelin Throw,F,2008,,,,
2,Christina ObergfÃ¶ll,GER,66.13 (2),Silver,Javelin Throw,F,2008,,,,
3,Goldie Sayers,GBR,65.75 (3),Bronze,Javelin Throw,F,2008,,,,
1,Usain Bolt,JAM,9.63 (1),Gold,100 metres,M,2012,,,,
2,Yohan Blake,JAM,9.75 (2),Silver,100 metres,M,2012,,,,
3,Justin Gatlin,USA,9.79 (3),Bronze,100 metres,M,2012,,,,
1,Usain Bolt,JAM,19.32 (1),Gold,200 metres,M,2012,,,,
2,Yohan Blake,JAM,19.44 (2),Silver,200 metres,M,2012,,,,
3,Warren Weir,JAM,19.84 (3),Bronze,200 metres,M,2012,,,,
1,Kirani James,GRN,43.94 (1),Gold,400 metres,M,2012,,,,
2,LuguelÃ­n Santos,DOM,44.46 (2),Silver,400 metres,M,2012,,,,
3,Lalonde Gordon,TTO,44.52 (3),Bronze,400 metres,M,2012,,,,
1,David Rudisha,KEN,1:40.91 (1),Gold,800 metres,M,2012,,,,
2,Nijel Amos,BOT,1:41.73 (2),Silver,800 metres,M,2012,,,,
3,Timothy Kitum,KEN,1:42.53 (3),Bronze,800 metres,M,2012,,,,
1,Taoufik Makhloufi,ALG,3:34.08 (1),Gold,"1,500 metres",M,2012,,,,
2,Leo Manzano,USA,3:34.79 (2),Silver,"1,500 metres",M,2012,,,,
3,Abdalaati Iguider,MAR,3:35.13 (3),Bronze,"1,500 metres",M,2012,,,,
1,Mo Farah,GBR,13:41.66 (1),Gold,"5,000 metres",M,2012,,,,
2,Dejen Gebremeskel,ETH,13:41.98 (2),Silver,"5,000 metres",M,2012,,,,
3,Thomas Longosiwa,KEN,13:42.36 (3),Bronze,"5,000 metres",M,2012,,,,
1,Mo Farah,GBR,,Gold,"10,000 metres",M,2012,,,,
2,Galen Rupp,USA,,Silver,"10,000 metres",M,2012,,,,
3,Tariku Bekele,ETH,,Bronze,"10,000 metres",M,2012,,,,
1,Stephen Kiprotich,UGA,,Gold,Marathon,M,2012,2-08:01,,,
2,Abel Kirui,KEN,,Silver,Marathon,M,2012,2-08:27,,,
3,Wilson Kipsang Kiprotich,KEN,,Bronze,Marathon,M,2012,2-09:37,,,
1,Aries Merritt,USA,12.92 (1),Gold,110 metres Hurdles,M,2012,,,,
2,Jason Richardson,USA,13.04 (2),Silver,110 metres Hurdles,M,2012,,,,
3,Hansle Parchment,JAM,13.12 (3),Bronze,110 metres Hurdles,M,2012,,,,
1,FÃ©lix SÃ¡nchez,DOM,47.63 (1),Gold,400 metres Hurdles,M,2012,,,,
2,Michael Tinsley,USA,47.91 (2),Silver,400 metres Hurdles,M,2012,,,,
3,Javier Culson,PUR,48.10 (3),Bronze,400 metres Hurdles,M,2012,,,,
1,Ezekiel Kemboi,KEN,8:18.56 (1),Gold,"3,000 metres Steeplechase",M,2012,,,,
2,Mahiedine Mekhissi-Benabbad,FRA,8:19.08 (2),Silver,"3,000 metres Steeplechase",M,2012,,,,
3,Abel Mutai,KEN,8:19.73 (3),Bronze,"3,000 metres Steeplechase",M,2012,,,,
1,,CHN,,Gold,20 kilometres Walk,M,2012,1-18:46,,,
2,,GUA,,Silver,20 kilometres Walk,M,2012,1-18:57,,,
3,,CHN,,Bronze,20 kilometres Walk,M,2012,1-19:25,,,
1,,AUS,,Gold,50 kilometres Walk,M,2012,3-36:53,,,
2,,CHN,,Silver,50 kilometres Walk,M,2012,3-37:16,,,
3,,IRL,,Bronze,50 kilometres Walk,M,2012,3-37:54,,,
1,Erik Kynard,USA,,Silver,High Jump,M,2012,,,,
=2,Mutaz Essa Barshim,QAT,,Bronze,High Jump,M,2012,,,,
=2,Derek Drouin,CAN,,Bronze,High Jump,M,2012,,,,
=2,Robbie Grabarz,GBR,,Bronze,High Jump,M,2012,,,,
1,Renaud Lavillenie,FRA,,Gold,Pole Vault,M,2012,,,,
2,BjÃ¶rn Otto,GER,,Silver,Pole Vault,M,2012,,,,
3,Raphael Holzdeppe,GER,,Bronze,Pole Vault,M,2012,,,,
1,Greg Rutherford,GBR,8.31 (1),Gold,Long Jump,M,2012,,,,
2,Mitch Watt,AUS,8.16 (2),Silver,Long Jump,M,2012,,,,
3,Will Claye,USA,8.12 (3),Bronze,Long Jump,M,2012,,,,
1,Christian Taylor,USA,17.81 (1),Gold,Triple Jump,M,2012,,,,
2,Will Claye,USA,17.62 (2),Silver,Triple Jump,M,2012,,,,
3,Fabrizio Donato,ITA,17.48 (3),Bronze,Triple Jump,M,2012,,,,
1,Tomasz Majewski,POL,21.89 (1),Gold,Shot Put,M,2012,,,,
2,David Storl,GER,21.86 (2),Silver,Shot Put,M,2012,,,,
3,Reese Hoffa,USA,21.23 (3),Bronze,Shot Put,M,2012,,,,
1,Robert Harting,GER,68.27 (1),Gold,Discus Throw,M,2012,,,,
2,Ehsan Haddadi,IRI,68.18 (2),Silver,Discus Throw,M,2012,,,,
3,Gerd Kanter,EST,68.03 (3),Bronze,Discus Throw,M,2012,,,,
1,KrisztiÃ¡n Pars,HUN,80.59 (1),Gold,Hammer Throw,M,2012,,,,
2,PrimoÅ¾ Kozmus,SLO,79.36 (2),Silver,Hammer Throw,M,2012,,,,
3,Koji Murofushi,JPN,78.71 (3),Bronze,Hammer Throw,M,2012,,,,
1,Keshorn Walcott,TTO,84.58 (1),Gold,Javelin Throw,M,2012,,,,
2,Antti Ruuskanen,FIN,84.12 (2),Silver,Javelin Throw,M,2012,,,,
3,VÃ­tÄzslav VeselÃ½,CZE,83.34 (3),Bronze,Javelin Throw,M,2012,,,,
1,Shelly-Ann Fraser-Pryce,JAM,10.75 (1),Gold,100 metres,F,2012,,,,
2,Carmelita Jeter,USA,10.78 (2),Silver,100 metres,F,2012,,,,
3,Veronica Campbell-Brown,JAM,10.81 (3),Bronze,100 metres,F,2012,,,,
1,Allyson Felix,USA,21.88 (1),Gold,200 metres,F,2012,,,,
2,Shelly-Ann Fraser-Pryce,JAM,22.09 (2),Silver,200 metres,F,2012,,,,
3,Carmelita Jeter,USA,22.14 (3),Bronze,200 metres,F,2012,,,,
1,Sanya Richards-Ross,USA,49.55 (1),Gold,400 metres,F,2012,,,,
2,Christine Ohuruogu,GBR,49.70 (2),Silver,400 metres,F,2012,,,,
3,DeeDee Trotter,USA,49.72 (3),Bronze,400 metres,F,2012,,,,
1,Caster Semenya,RSA,1:57.23 (1),Gold,800 metres,F,2012,,,,
2,Yekaterina Poistogova,RUS,1:57.53 (2),Silver,800 metres,F,2012,,,,
3,Pamela Jelimo,KEN,1:57.59 (3),Bronze,800 metres,F,2012,,,,
1,Maryam Jamal,BRN,4:10.74 (1),Gold,"1,500 metres",F,2012,,,,
2,Tatyana Tomashova,RUS,4:10.90 (2),Silver,"1,500 metres",F,2012,,,,
3,Abeba Aregawi,ETH,4:11.03 (3),Bronze,"1,500 metres",F,2012,,,,
1,Meseret Defar,ETH,15:04.25 (1),Gold,"5,000 metres",F,2012,,,,
2,Vivian Cheruiyot,KEN,15:04.73 (2),Silver,"5,000 metres",F,2012,,,,
3,Tirunesh Dibaba,ETH,15:05.15 (3),Bronze,"5,000 metres",F,2012,,,,
1,Tirunesh Dibaba,ETH,,Gold,"10,000 metres",F,2012,,,,
2,Sally Kipyego,KEN,,Silver,"10,000 metres",F,2012,,,,
3,Vivian Cheruiyot,KEN,,Bronze,"10,000 metres",F,2012,,,,
1,Tiki Gelana,ETH,,Gold,Marathon,F,2012,2-23:07,,,
2,Priscah Jeptoo,KEN,,Silver,Marathon,F,2012,2-23:12,,,
3,Tatyana Petrova-Arkhipova,RUS,,Bronze,Marathon,F,2012,2-23:29,,,
1,Sally Pearson,AUS,12.35 (1),Gold,100 metres Hurdles,F,2012,,,,
2,Dawn Harper,USA,12.37 (2),Silver,100 metres Hurdles,F,2012,,,,
3,Kellie Wells,USA,12.48 (3),Bronze,100 metres Hurdles,F,2012,,,,
1,Nataliya Antyukh,RUS,52.70 (1),Gold,400 metres Hurdles,F,2012,,,,
2,Lashinda Demus,USA,52.77 (2),Silver,400 metres Hurdles,F,2012,,,,
3,Zuzana HejnovÃ¡,CZE,53.38 (3),Bronze,400 metres Hurdles,F,2012,,,,
1,Habiba Ghribi,TUN,9:08.37 (1),Gold,"3,000 metres Steeplechase",F,2012,,,,
2,Sofia Assefa,ETH,9:09.84 (2),Silver,"3,000 metres Steeplechase",F,2012,,,,
3,Milcah Chemos Cheywa,KEN,9:09.88 (3),Bronze,"3,000 metres Steeplechase",F,2012,,,,
1,,RUS,,Gold,20 kilometres Walk,F,2012,1-25:02,,,
2,,CHN,,Silver,20 kilometres Walk,F,2012,1-25:16,,,
3,,CHN,,Bronze,20 kilometres Walk,F,2012,1-26:00,,,
1,Anna Chicherova,RUS,,Gold,High Jump,F,2012,,,,
2,Brigetta Barrett,USA,,Silver,High Jump,F,2012,,,,
1,Jenn Suhr,USA,,Gold,Pole Vault,F,2012,,,,
2,Yarisley Silva,CUB,,Silver,Pole Vault,F,2012,,,,
3,Yelena Isinbayeva,RUS,,Bronze,Pole Vault,F,2012,,,,
1,Brittney Reese,USA,7.12 (1),Gold,Long Jump,F,2012,,,,
2,Yelena Sokolova,RUS,7.07 (2),Silver,Long Jump,F,2012,,,,
3,Janay DeLoach,USA,6.89 (3),Bronze,Long Jump,F,2012,,,,
